"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_6835","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV_6836","Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae","Rubrivirga",NA
"ASV_6837","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aureimonas",NA
"ASV_6838","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group",NA
"ASV_6839","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_6840","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA,NA
"ASV_6841","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"ASV_6842","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Antarcticibacterium",NA
"ASV_6843","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales",NA,NA,NA
"ASV_6844","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA,NA
"ASV_6845","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV_6846","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae",NA,NA
"ASV_6847","Bacteria","Actinobacteriota","Actinobacteria",NA,NA,NA,NA
"ASV_6848","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
