	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30
ASV150	0	0	0	88	0	0	39	139	518	0	0	0	0	0	194	0	0	0	0	0	12	0	0	45	154	272	209	0	58	0
ASV151	0	0	0	78	0	203	194	0	0	0	86	0	16	59	0	0	0	0	0	0	54	0	45	0	176	224	0	0	0	582
ASV152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	510	569	543	0	0	0
ASV153	0	0	0	34	0	0	0	819	0	0	0	0	0	0	0	707	0	0	0	0	0	17	0	0	0	0	0	111	0	0
ASV154	0	0	0	0	0	0	0	0	0	0	0	96	0	484	0	0	0	0	0	0	239	315	34	0	298	135	0	69	0	0
ASV155	0	0	0	0	326	0	0	153	149	0	0	0	0	31	0	0	0	0	0	0	0	35	0	0	181	0	0	61	0	712
ASV156	0	0	0	0	0	0	0	0	0	0	105	115	106	17	73	0	0	10	43	79	114	497	55	49	0	139	101	140	0	0
ASV157	0	0	0	0	0	0	0	0	0	0	0	87	71	0	0	0	0	7	134	0	84	0	0	20	0	995	75	65	101	0
ASV158	0	0	0	1584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0
ASV159	162	180	14	31	272	251	271	18	10	0	30	28	0	0	125	44	63	0	0	117	0	0	0	0	0	0	0	0	0	0
ASV160	211	693	0	0	207	248	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV162	0	0	0	42	0	0	0	0	0	0	52	81	8	0	0	58	0	0	44	231	297	23	0	18	223	155	342	0	0	0
ASV163	0	0	373	280	0	0	0	472	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV164	7	93	0	0	120	0	0	0	20	0	95	157	0	12	174	75	52	0	0	0	96	191	30	0	34	171	235	0	0	0
ASV165	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	6	11	0	31	0	0	0	19	0	1247	0	0	0
ASV166	0	0	0	0	0	0	0	0	0	1305	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0
ASV167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	702	0	0	693	85	0	0	0	0
ASV168	0	0	0	113	0	0	0	843	65	0	0	0	0	0	0	105	47	4	44	0	37	0	0	0	145	0	0	112	6	0
ASV169	0	0	0	0	0	0	0	0	0	0	0	1490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV170	0	0	0	0	0	0	0	1488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1473	0	0	0	0	0	0	0	0
ASV172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1458	0	0	0
ASV173	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	58	1174	0	0	0	131	0	0	0	0
ASV174	0	0	57	150	0	0	136	45	313	0	20	151	77	0	189	151	58	0	0	90	0	0	0	0	15	0	0	0	0	0
ASV175	0	0	0	0	0	0	0	0	0	0	0	1441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV176	0	0	0	0	0	0	0	0	0	0	854	0	0	0	0	168	0	0	0	0	21	37	0	0	136	168	0	0	49	0
ASV177	0	0	0	0	0	0	0	0	0	0	0	57	12	0	0	116	118	13	0	0	288	150	0	19	184	151	325	0	0	0
ASV178	0	0	0	51	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	154	206	0	0	113	384	361	0	57	0
ASV179	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	186	231	0	0	544	58	65	0	296	0
ASV180	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	1393	0	0	0	0	0	0	0	0	0	0	0	0
ASV181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	50	0	0	303	385	424	0	0	0
ASV182	0	0	0	0	0	0	0	0	0	0	0	0	0	59	124	0	0	9	0	0	263	172	0	4	94	168	521	0	0	0
ASV183	0	0	0	0	0	0	0	0	142	0	35	0	64	76	307	0	0	0	0	0	239	0	0	0	0	37	381	130	0	0
ASV184	514	0	75	0	0	135	0	0	0	287	54	0	0	0	48	76	93	0	0	0	0	75	0	0	0	0	0	0	0	42
ASV185	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	337	136	90	0	230	0	399	0	0	157
ASV186	247	0	0	174	0	0	0	0	0	0	72	222	0	0	10	0	65	0	0	0	74	348	0	0	0	153	0	0	32	0
ASV187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	1252	0	0	0
ASV188	0	236	0	169	0	0	642	45	51	0	28	0	0	0	93	0	37	0	0	0	0	0	0	0	85	0	0	0	0	0
ASV189	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	7	0	0	1364	0	0	0	0	0
ASV190	0	0	0	138	727	0	0	0	384	0	0	0	0	0	0	0	0	14	0	0	0	0	7	110	0	0	0	0	0	0
ASV191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	794	0
ASV192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825	0	539	0	0	0
ASV193	62	0	1034	157	0	0	0	91	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1356	0	0	0	0	0
ASV195	0	0	0	0	0	0	0	0	53	0	268	0	8	123	0	0	0	40	0	0	69	529	0	0	0	258	0	0	0	0
ASV196	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1272
ASV197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	57	197	0	0	497	438	61	0	0	0
ASV198	0	0	0	0	0	153	0	0	136	0	0	0	26	26	0	417	0	64	0	0	29	5	0	21	109	80	0	0	251	0
ASV199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1310	0
ASV200	0	0	0	0	0	0	0	0	0	0	106	88	0	0	414	398	37	0	4	0	28	55	0	0	56	85	31	0	0	0
ASV201	0	0	0	0	0	0	0	0	0	0	0	0	1295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV202	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV203	471	89	0	0	421	194	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
