"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_4034","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4035","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_4036","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Milesinaceae","g__Uredinopsis","s__filicina"
"ASV_4037","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_4038","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4039","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4040","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4041","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis",NA
"ASV_4042","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4043","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis",NA
"ASV_4044","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4045","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_4046","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__mandshurica"
"ASV_4047","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4048","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Pseudeurotiaceae_gen_Incertae_sedis",NA
"ASV_4049","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Tubeufiaceae",NA,NA
"ASV_4050","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4051","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4052","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporales_fam_Incertae_sedis","g__Diplomitoporus","s__crustulinus"
"ASV_4053","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Drepanopezizaceae","g__Drepanopeziza","s__brunnea"
"ASV_4054","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__phaeomuriformis"
"ASV_4055","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Phoma","s__schachtii"
"ASV_4056","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_4057","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","g__Amphinema",NA
"ASV_4058","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_4059","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4060","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4061","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Ascosphaerales","f__Ascosphaeraceae","g__Ascosphaera","s__xerophila"
"ASV_4062","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Tuberaceae","g__Tuber",NA
"ASV_4063","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_4064","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis",NA
"ASV_4065","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Sistotremastrum","s__guttuliferum"
"ASV_4066","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4067","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Dissoconiaceae","g__Dissoconium","s__aciculare"
"ASV_4068","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_4069","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Ramalinaceae","g__Bacidina",NA
"ASV_4070","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Ascosphaerales","f__Ascosphaeraceae","g__Ascosphaera","s__xerophila"
"ASV_4071","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Pleuroascaceae","g__Venustampulla","s__parva"
"ASV_4072","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_4073","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Mycocaliciales","f__Mycocaliciaceae","g__Mycocalicium","s__subtile"
"ASV_4074","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"ASV_4075","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis",NA
"ASV_4076","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4077","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Acremonium","s__sclerotigenum"
"ASV_4078","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Metschnikowia",NA
"ASV_4079","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"ASV_4080","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_4081","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Endoconidioma","s__populi"
"ASV_4082","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_4083","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__buchwaldii"
"ASV_4084","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Typhulaceae","g__Typhula",NA
"ASV_4085","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Linnemannia",NA
"ASV_4086","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_4087","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Cryptococcus","s__aureus"
"ASV_4088","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales",NA,NA,NA
"ASV_4089","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
